ListNo.164

Measurement condition:
Measurement(Import) date,2018/04/10 11:42:49
Sample name,AG_APR02_A_PSPQ_405nm_2hr30min
Measurement version,5.1.7.12
System type,Spectroscopy
Measurement wavelength(Lower limit)[nm],186.363
Measurement wavelength(Upper limit)[nm],818.449
Measurement mode,Real-time monitor
Data type,Absolute Reflectance
StandardReflector,Air/Si
Lens,None (NA : 0)
Sample/Reference conditions,The same condition
Samplemeasurement condition,
  Exposure time[ms],49
  Num. of Accum.,1
  Amp gain,Normal
  Correction of ambient light,It doesn't do.
Referencemeasurement condition,
  Exposure time[ms],49
  Num. of Accum.,1
  Amp gain,Normal
  Correction of ambient light,It doesn't do.

Analysis condition:

Layer structure:
Layer,Material,Parameter name,Parameter value,Free,Bind no.

Incident angle,0,0,0,0,0
Wavelength,RMeasured data,RReferenceDark,RReferenceSignal,RSampleDark,RSampleSignal
186.363,0,0.00448615243762875,0.00698100251773861,0.00448615243762875,0.00506599526970321
187.578,0,0.00450141145952544,0.00692759594110018,0.00450141145952544,0.00474555580987259
188.793,0,0.00447089341573205,0.00703440909437705,0.00447089341573205,0.00538643472953384
190.007,0,0.00462348363469902,0.00762951094834821,0.00462348363469902,0.00521858548867018
191.222,0,0.00497444113832303,0.00738536659800107,0.00497444113832303,0.00523384451056687
192.436,0,0.00503547722590982,0.00772106507972839,0.00503547722590982,0.00495918211642634
193.651,0,0.00459296559090562,0.00778210116731518,0.00459296559090562,0.00549324788281071
194.866,0,0.00485236896314946,0.00840772106507973,0.00485236896314946,0.00552376592660411
196.08,0,0.00474555580987259,0.00820935378042268,0.00474555580987259,0.0055390249485008
197.295,0,0.00546272983901732,0.00859082932784009,0.00546272983901732,0.00518806744487678
198.51,0,0.00463874265659571,0.00859082932784009,0.00463874265659571,0.00543221179522393
199.724,0,0.00483710994125277,0.00935378042267491,0.00483710994125277,0.00587472343022812
200.939,0,0.0046692607003891,0.00933852140077821,0.0046692607003891,0.00572213321126116
202.154,0,0.00535591668574044,0.00955214770733196,0.00535591668574044,0.00534065766384375
203.368,0,0.00497444113832303,0.00973525597009232,0.00497444113832303,0.00563057907988098
204.583,0,0.0046845197222858,0.0106507972838941,0.0046845197222858,0.00572213321126116
205.798,0,0.00483710994125277,0.0107728694590677,0.00483710994125277,0.00602731364919509
207.012,0.0893730035858563,0.00502021820401312,0.0112458991378653,0.00502021820401312,0.00584420538643473
208.227,0.0758308861069769,0.00524910353246357,0.011612115663386,0.00524910353246357,0.0059662775616083
209.441,0.102000828305392,0.00482185091935607,0.012466620889601,0.00482185091935607,0.005981536583505
210.656,0.11379313391816,0.00482185091935607,0.0127565423056382,0.00482185091935607,0.00616464484626535
211.871,0.0991088588811097,0.00500495918211643,0.0135957885099565,0.00500495918211643,0.00627145799954223
213.085,0.11198187626482,0.00500495918211643,0.0142519264515145,0.00500495918211643,0.00654612039368277
214.3,0.0868922622583637,0.00502021820401312,0.0161287861448081,0.00502021820401312,0.00645456626230259
215.515,0.116269103027766,0.00476081483176928,0.0184328984512093,0.00476081483176928,0.00712596322575723
216.729,0.105169641998835,0.00515754940108339,0.0232089723048753,0.00515754940108339,0.00798046845197223
217.944,0.116936341623691,0.00488288700694286,0.0307164110780499,0.00488288700694286,0.0093690394445716
219.159,0.110719960595515,0.00505073624780652,0.0416876478217746,0.00505073624780652,0.0110780498970016
220.373,0.115598564568515,0.00497444113832303,0.0553444724193179,0.00497444113832303,0.0136110475318532
